Ранг,Слово,Абсолютная частота,Относительная частота,Нормализованный ранг,Нормализированная частота
1,ночь,3,0.023076923076923078,0.0,-3.7689221617874726
2,окне,2,0.015384615384615385,0.6931471805599453,-4.174387269895637
3,день,2,0.015384615384615385,1.0986122886681098,-4.174387269895637
4,правду,2,0.015384615384615385,1.3862943611198906,-4.174387269895637
5,огромном,1,0.007692307692307693,1.6094379124341003,-4.867534450455582
6,городе,1,0.007692307692307693,1.791759469228055,-4.867534450455582
7,дома,1,0.007692307692307693,1.9459101490553132,-4.867534450455582
8,сонного,1,0.007692307692307693,2.0794415416798357,-4.867534450455582
9,иду,1,0.007692307692307693,2.1972245773362196,-4.867534450455582
10,прочь,1,0.007692307692307693,2.302585092994046,-4.867534450455582
11,люди,1,0.007692307692307693,2.3978952727983707,-4.867534450455582
12,думают,1,0.007692307692307693,2.4849066497880004,-4.867534450455582
13,жена,1,0.007692307692307693,2.5649493574615367,-4.867534450455582
14,дочь,1,0.007692307692307693,2.6390573296152584,-4.867534450455582
15,запомнила,1,0.007692307692307693,2.70805020110221,-4.867534450455582
16,июльский,1,0.007692307692307693,2.772588722239781,-4.867534450455582
17,ветер,1,0.007692307692307693,2.833213344056216,-4.867534450455582
18,метет,1,0.007692307692307693,2.8903717578961645,-4.867534450455582
19,путь,1,0.007692307692307693,2.9444389791664403,-4.867534450455582
20,где-то,1,0.007692307692307693,2.995732273553991,-4.867534450455582
21,музыка,1,0.007692307692307693,3.044522437723423,-4.867534450455582
22,ветру,1,0.007692307692307693,3.091042453358316,-4.867534450455582
23,зари,1,0.007692307692307693,3.1354942159291497,-4.867534450455582
24,дуть,1,0.007692307692307693,3.1780538303479458,-4.867534450455582
25,стенки,1,0.007692307692307693,3.2188758248682006,-4.867534450455582
26,тонкие,1,0.007692307692307693,3.258096538021482,-4.867534450455582
27,груди,1,0.007692307692307693,3.295836866004329,-4.867534450455582
28,грудь,1,0.007692307692307693,3.332204510175204,-4.867534450455582
29,черный,1,0.007692307692307693,3.367295829986474,-4.867534450455582
30,тополь,1,0.007692307692307693,3.4011973816621555,-4.867534450455582
31,свет,1,0.007692307692307693,3.4339872044851463,-4.867534450455582
32,звон,1,0.007692307692307693,3.4657359027997265,-4.867534450455582
33,башне,1,0.007692307692307693,3.4965075614664802,-4.867534450455582
34,руке,1,0.007692307692307693,3.5263605246161616,-4.867534450455582
35,цвет,1,0.007692307692307693,3.5553480614894135,-4.867534450455582
36,шаг,1,0.007692307692307693,3.58351893845611,-4.867534450455582
37,вслед,1,0.007692307692307693,3.6109179126442243,-4.867534450455582
38,тень,1,0.007692307692307693,3.6375861597263857,-4.867534450455582
39,огни,1,0.007692307692307693,3.6635616461296463,-4.867534450455582
40,нити,1,0.007692307692307693,3.6888794541139363,-4.867534450455582
41,золотых,1,0.007692307692307693,3.713572066704308,-4.867534450455582
42,бус,1,0.007692307692307693,3.7376696182833684,-4.867534450455582
43,ночного,1,0.007692307692307693,3.7612001156935624,-4.867534450455582
44,листика,1,0.007692307692307693,3.784189633918261,-4.867534450455582
45,рту,1,0.007692307692307693,3.8066624897703196,-4.867534450455582
46,вкус,1,0.007692307692307693,3.828641396489095,-4.867534450455582
47,освободите,1,0.007692307692307693,3.8501476017100584,-4.867534450455582
48,дневных,1,0.007692307692307693,3.871201010907891,-4.867534450455582
49,уз,1,0.007692307692307693,3.8918202981106265,-4.867534450455582
50,друзья,1,0.007692307692307693,3.912023005428146,-4.867534450455582
51,поймите,1,0.007692307692307693,3.9318256327243257,-4.867534450455582
52,снюсь,1,0.007692307692307693,3.9512437185814275,-4.867534450455582
53,упало,1,0.007692307692307693,3.970291913552122,-4.867534450455582
54,бездну,1,0.007692307692307693,3.9889840465642745,-4.867534450455582
55,разверзтую,1,0.007692307692307693,4.007333185232471,-4.867534450455582
56,настанет,1,0.007692307692307693,4.02535169073515,-4.867534450455582
57,исчезну,1,0.007692307692307693,4.04305126783455,-4.867534450455582
58,поверхности,1,0.007692307692307693,4.060443010546419,-4.867534450455582
59,земли,1,0.007692307692307693,4.07753744390572,-4.867534450455582
60,застынет,1,0.007692307692307693,4.0943445622221,-4.867534450455582
61,пело,1,0.007692307692307693,4.110873864173311,-4.867534450455582
62,боролось,1,0.007692307692307693,4.127134385045092,-4.867534450455582
63,сияло,1,0.007692307692307693,4.143134726391533,-4.867534450455582
64,рвалось,1,0.007692307692307693,4.1588830833596715,-4.867534450455582
65,зелень,1,0.007692307692307693,4.174387269895637,-4.867534450455582
66,глаз,1,0.007692307692307693,4.189654742026425,-4.867534450455582
67,нежный,1,0.007692307692307693,4.204692619390966,-4.867534450455582
68,голос,1,0.007692307692307693,4.219507705176107,-4.867534450455582
69,золото,1,0.007692307692307693,4.23410650459726,-4.867534450455582
70,волос,1,0.007692307692307693,4.248495242049359,-4.867534450455582
71,жизнь,1,0.007692307692307693,4.2626798770413155,-4.867534450455582
72,насущным,1,0.007692307692307693,4.276666119016055,-4.867534450455582
73,хлебом,1,0.007692307692307693,4.290459441148391,-4.867534450455582
74,забывчивостью,1,0.007692307692307693,4.30406509320417,-4.867534450455582
75,дня,1,0.007692307692307693,4.31748811353631,-4.867534450455582
76,небом,1,0.007692307692307693,4.330733340286331,-4.867534450455582
77,изменчивой,1,0.007692307692307693,4.343805421853684,-4.867534450455582
78,дети,1,0.007692307692307693,4.356708826689592,-4.867534450455582
79,каждой,1,0.007692307692307693,4.3694478524670215,-4.867534450455582
80,мине,1,0.007692307692307693,4.382026634673881,-4.867534450455582
81,недолго,1,0.007692307692307693,4.394449154672439,-4.867534450455582
82,злой,1,0.007692307692307693,4.406719247264253,-4.867534450455582
83,любившей,1,0.007692307692307693,4.418840607796598,-4.867534450455582
84,час,1,0.007692307692307693,4.430816798843313,-4.867534450455582
85,дрова,1,0.007692307692307693,4.442651256490317,-4.867534450455582
86,камине,1,0.007692307692307693,4.454347296253507,-4.867534450455582
87,становятся,1,0.007692307692307693,4.465908118654584,-4.867534450455582
88,золой,1,0.007692307692307693,4.477336814478207,-4.867534450455582
89,виолончель,1,0.007692307692307693,4.48863636973214,-4.867534450455582
90,кавалькады,1,0.007692307692307693,4.499809670330265,-4.867534450455582
91,колокол,1,0.007692307692307693,4.51085950651685,-4.867534450455582
92,селе,1,0.007692307692307693,4.5217885770490405,-4.867534450455582
93,живой,1,0.007692307692307693,4.532599493153256,-4.867534450455582
94,настоящей,1,0.007692307692307693,4.543294782270004,-4.867534450455582
95,ласковой,1,0.007692307692307693,4.553876891600541,-4.867534450455582
96,земле,1,0.007692307692307693,4.564348191467836,-4.867534450455582
97,ни,1,0.007692307692307693,4.574710978503383,-4.867534450455582
98,знавшей,1,0.007692307692307693,4.584967478670572,-4.867534450455582
99,меры,1,0.007692307692307693,4.59511985013459,-4.867534450455582
100,чужие,1,0.007692307692307693,4.605170185988092,-4.867534450455582
101,обращаюсь,1,0.007692307692307693,4.61512051684126,-4.867534450455582
102,требованьем,1,0.007692307692307693,4.624972813284271,-4.867534450455582
103,веры,1,0.007692307692307693,4.634728988229636,-4.867534450455582
104,просьбой,1,0.007692307692307693,4.6443908991413725,-4.867534450455582
