Ранг,Слово,Абсолютная частота,Относительная частота,Нормализованный ранг,Нормализированная частота
1,ночь,3,0.023076923076923078,0.0,-3.7689221617874726
2,ветер,2,0.015384615384615385,0.6931471805599453,-4.174387269895637
3,окно,2,0.015384615384615385,1.0986122886681098,-4.174387269895637
4,день,2,0.015384615384615385,1.3862943611198906,-4.174387269895637
5,правду,2,0.015384615384615385,1.6094379124341003,-4.174387269895637
6,огромном,1,0.007692307692307693,1.791759469228055,-4.867534450455582
7,город,1,0.007692307692307693,1.9459101490553132,-4.867534450455582
8,дома,1,0.007692307692307693,2.0794415416798357,-4.867534450455582
9,сонный,1,0.007692307692307693,2.1972245773362196,-4.867534450455582
10,иду,1,0.007692307692307693,2.302585092994046,-4.867534450455582
11,прочь,1,0.007692307692307693,2.3978952727983707,-4.867534450455582
12,люди,1,0.007692307692307693,2.4849066497880004,-4.867534450455582
13,думать,1,0.007692307692307693,2.5649493574615367,-4.867534450455582
14,жена,1,0.007692307692307693,2.6390573296152584,-4.867534450455582
15,дочь,1,0.007692307692307693,2.70805020110221,-4.867534450455582
16,запомнила,1,0.007692307692307693,2.772588722239781,-4.867534450455582
17,июльский,1,0.007692307692307693,2.833213344056216,-4.867534450455582
18,метет,1,0.007692307692307693,2.8903717578961645,-4.867534450455582
19,путь,1,0.007692307692307693,2.9444389791664403,-4.867534450455582
20,где,1,0.007692307692307693,2.995732273553991,-4.867534450455582
21,музыка,1,0.007692307692307693,3.044522437723423,-4.867534450455582
22,зари,1,0.007692307692307693,3.091042453358316,-4.867534450455582
23,дуть,1,0.007692307692307693,3.1354942159291497,-4.867534450455582
24,стенки,1,0.007692307692307693,3.1780538303479458,-4.867534450455582
25,тонкий,1,0.007692307692307693,3.2188758248682006,-4.867534450455582
26,груди,1,0.007692307692307693,3.258096538021482,-4.867534450455582
27,грудь,1,0.007692307692307693,3.295836866004329,-4.867534450455582
28,чёрный,1,0.007692307692307693,3.332204510175204,-4.867534450455582
29,тополь,1,0.007692307692307693,3.367295829986474,-4.867534450455582
