Ранг,Слово,Абсолютная частота,Относительная частота,Нормализованный ранг,Нормализированная частота
1,меня,4,0.024242424242424242,0.0,-3.71965111278069
2,ночь,3,0.01818181818181818,0.6931471805599453,-4.007333185232471
3,окне,2,0.012121212121212121,1.0986122886681098,-4.412798293340635
4,нет,2,0.012121212121212121,1.3862943611198906,-4.412798293340635
5,вам,2,0.012121212121212121,1.6094379124341003,-4.412798293340635
6,день,2,0.012121212121212121,1.791759469228055,-4.412798293340635
7,будет,2,0.012121212121212121,1.9459101490553132,-4.412798293340635
8,не,2,0.012121212121212121,2.0794415416798357,-4.412798293340635
9,правду,2,0.012121212121212121,2.1972245773362196,-4.412798293340635
10,слишком,2,0.012121212121212121,2.302585092994046,-4.412798293340635
11,огромном,1,0.006060606060606061,2.3978952727983707,-5.10594547390058
12,городе,1,0.006060606060606061,2.4849066497880004,-5.10594547390058
13,моём,1,0.006060606060606061,2.5649493574615367,-5.10594547390058
14,дома,1,0.006060606060606061,2.6390573296152584,-5.10594547390058
15,сонного,1,0.006060606060606061,2.70805020110221,-5.10594547390058
16,иду,1,0.006060606060606061,2.772588722239781,-5.10594547390058
17,прочь,1,0.006060606060606061,2.833213344056216,-5.10594547390058
18,люди,1,0.006060606060606061,2.8903717578961645,-5.10594547390058
19,думают,1,0.006060606060606061,2.9444389791664403,-5.10594547390058
20,жена,1,0.006060606060606061,2.995732273553991,-5.10594547390058
21,дочь,1,0.006060606060606061,3.044522437723423,-5.10594547390058
22,запомнила,1,0.006060606060606061,3.091042453358316,-5.10594547390058
23,одно,1,0.006060606060606061,3.1354942159291497,-5.10594547390058
24,июльский,1,0.006060606060606061,3.1780538303479458,-5.10594547390058
25,ветер,1,0.006060606060606061,3.2188758248682006,-5.10594547390058
26,метет,1,0.006060606060606061,3.258096538021482,-5.10594547390058
27,путь,1,0.006060606060606061,3.295836866004329,-5.10594547390058
28,где-то,1,0.006060606060606061,3.332204510175204,-5.10594547390058
29,музыка,1,0.006060606060606061,3.367295829986474,-5.10594547390058
30,чуть,1,0.006060606060606061,3.4011973816621555,-5.10594547390058
31,ах,1,0.006060606060606061,3.4339872044851463,-5.10594547390058
32,нынче,1,0.006060606060606061,3.4657359027997265,-5.10594547390058
33,ветру,1,0.006060606060606061,3.4965075614664802,-5.10594547390058
34,зари,1,0.006060606060606061,3.5263605246161616,-5.10594547390058
35,дуть,1,0.006060606060606061,3.5553480614894135,-5.10594547390058
36,сквозь,1,0.006060606060606061,3.58351893845611,-5.10594547390058
37,стенки,1,0.006060606060606061,3.6109179126442243,-5.10594547390058
38,тонкие,1,0.006060606060606061,3.6375861597263857,-5.10594547390058
39,груди,1,0.006060606060606061,3.6635616461296463,-5.10594547390058
40,грудь,1,0.006060606060606061,3.6888794541139363,-5.10594547390058
41,есть,1,0.006060606060606061,3.713572066704308,-5.10594547390058
42,черный,1,0.006060606060606061,3.7376696182833684,-5.10594547390058
43,тополь,1,0.006060606060606061,3.7612001156935624,-5.10594547390058
44,свет,1,0.006060606060606061,3.784189633918261,-5.10594547390058
45,звон,1,0.006060606060606061,3.8066624897703196,-5.10594547390058
46,башне,1,0.006060606060606061,3.828641396489095,-5.10594547390058
47,руке,1,0.006060606060606061,3.8501476017100584,-5.10594547390058
48,цвет,1,0.006060606060606061,3.871201010907891,-5.10594547390058
49,шаг,1,0.006060606060606061,3.8918202981106265,-5.10594547390058
50,никому,1,0.006060606060606061,3.912023005428146,-5.10594547390058
51,вслед,1,0.006060606060606061,3.9318256327243257,-5.10594547390058
52,тень,1,0.006060606060606061,3.9512437185814275,-5.10594547390058
53,огни,1,0.006060606060606061,3.970291913552122,-5.10594547390058
54,нити,1,0.006060606060606061,3.9889840465642745,-5.10594547390058
55,золотых,1,0.006060606060606061,4.007333185232471,-5.10594547390058
56,бус,1,0.006060606060606061,4.02535169073515,-5.10594547390058
57,ночного,1,0.006060606060606061,4.04305126783455,-5.10594547390058
58,листика,1,0.006060606060606061,4.060443010546419,-5.10594547390058
59,рту,1,0.006060606060606061,4.07753744390572,-5.10594547390058
60,вкус,1,0.006060606060606061,4.0943445622221,-5.10594547390058
61,освободите,1,0.006060606060606061,4.110873864173311,-5.10594547390058
62,дневных,1,0.006060606060606061,4.127134385045092,-5.10594547390058
63,уз,1,0.006060606060606061,4.143134726391533,-5.10594547390058
64,друзья,1,0.006060606060606061,4.1588830833596715,-5.10594547390058
